Year Published,Min Players,Max Players,Play Time,Rating Average,BGG Rank,Complexity Average
2015,2,4,60,8.61,2,2.84
2019,2,7,40,1.1,20288,1
2005,2,4,5,1.32,19959,1
2013,2,4,90,1.5,20205,1
2003,2,2,1,1.5,20090,1
2006,2,8,60,1.54,20151,1.5
2003,2,4,45,2.14,20113,2.5
2004,2,4,30,2.43,20050,2.33
2006,2,4,60,2.5,19885,1
2009,2,8,60,2.63,19886,1
2007,2,6,30,2.64,19715,1
2009,2,8,60,2.71,19965,1.5
2005,2,4,30,2.8,19876,1
2001,2,5,60,2.8,19718,3
2000,2,14,30,2.83,20180,1.75
2005,2,4,60,3.12,19666,1
2020,1,4,60,3.21,19548,3
2002,2,6,45,3.23,20275,1.43
2000,2,6,45,3.24,19994,1.5
2018,5,10,45,3.29,20158,1
2006,2,4,30,3.29,20082,1.56
2001,2,12,30,3.31,20166,1.1
2016,2,4,120,3.31,19888,2.8
2005,2,6,10,3.32,19631,1
2001,2,10,40,3.32,20318,1.2
2002,3,6,30,3.34,19533,1
2018,4,8,90,3.36,19724,1
2002,2,6,45,3.38,20268,1.2
2007,2,2,30,3.41,20058,1.15
2000,4,8,20,3.42,19810,1.5
2000,2,4,20,3.45,19682,1
2011,2,6,30,3.47,19624,2
2005,2,6,30,3.48,19761,1
2009,2,5,60,3.48,19377,1.5
2014,2,2,30,3.5,19856,2
2016,3,5,30,3.51,20164,1
2004,2,12,60,3.53,20154,1.25
2006,2,4,30,3.53,19649,1.33
2012,2,10,180,3.53,19765,2.2
2013,3,10,15,3.54,20112,1
2018,2,6,30,3.55,19656,1
2017,2,4,60,3.55,20283,2.33
2012,2,4,30,3.56,19552,1.33
2003,2,6,60,3.57,20216,1.22
2009,2,4,30,3.59,19722,1
2009,2,4,10,3.61,19556,1
2002,2,8,30,3.62,19643,1
2002,2,4,15,3.65,20222,1.22
2000,3,6,30,3.65,20024,1.5
2007,2,4,45,3.65,19815,1.6
2006,2,8,60,3.66,20276,2.48
2006,2,4,15,3.67,20136,1
2016,2,8,5,3.67,20099,1
2002,3,4,100,3.67,20249,2.48
2004,2,6,60,3.68,20155,1.63
2005,2,4,15,3.69,19673,1
2002,2,6,30,3.69,19979,1.2
2016,2,2,60,3.7,19957,1.5
2006,2,4,10,3.71,19854,1
2002,2,4,30,3.71,19331,1
2005,2,6,45,3.72,19602,1
2005,2,5,20,3.72,19744,1.25
2003,3,6,30,3.73,19258,1.75
2012,2,4,10,3.74,19901,1.43
2001,2,7,10,3.76,19486,1
